vendor_name	invoice_pattern	charge_type	sample_count	priority
Fusion Waste	HAUL CHARGE - YD ROLL OFF - WO:	Empty & Return	6	1
Fusion Waste	RENT CHARGE - DAILY	Daily Rental Industrial	6	1
Fusion Waste	YD FRONT LOAD TRASH	Monthly Service Commercial	3	1
Fusion Waste	ADMINISTRATIVE FEES	Local Surcharges/Fees Industrial	3	1
Fusion Waste	FRANCHISE FEE - DALLAS	Local Surcharges/Fees Industrial	3	1
Fusion Waste	FRANCHISE FEE - FORT WORTH	Franchise Fee Industrial	3	1
Fusion Waste	FRANCHISE FEE - CARROLLTON	Local Surcharges/Fees Industrial	2	1
Fusion Waste	FRANCHISE FEE - DALLAS\NSALES TAX	Franchise Fee Industrial	2	1
Fusion Waste	HAUL CHARGE - YD ROLL OFF - WO:\N	Empty & Return	2	1
Fusion Waste	HAUL CHARGE - YD ROLL OFF-WO:	Empty & Return	2	1
Fusion Waste	FUEL SURCHARGE - ROLL OFF - PO: OCRFN	Fuel Surcharge Industrial	1	1
Fusion Waste	HAUL CHARGE - YD ROLL OFF - WO:	Empty & Return	1	1
Fusion Waste	LOCK BAR MONTHLY FEE	Lock Bar	1	1
GFL	RO ROUNDTRIP	Empty & Return	97	1
GFL	SITE TAX TOTAL	FUEL SURCHARGE	49	1
GFL	SITE SURCHARGE TOTAL	Vendor Cost Increase - Industrial	31	1
GFL	EQUIPMENT USE FEE MONTHLY\N//-//	Trip Charge	30	1
GFL	EQUIPMENT USE FEE MONTHLY\N//-//	Trip Charge	24	1
GFL	EQUIPMENT USE FEE MONTHLY\N//-//	Trip Charge	24	1
GFL	FUEL SURCHARGE	Fuel Surcharge Commercial	24	1
GFL	EQUIPMENT USE FEE MONTHLY\N//-//	Trip Charge	20	1
GFL	RO TRIP FEE	Monthly Rental Industrial	18	1
GFL	EQUIPMENT USE FEE MONTHLY	Trip Charge	6	1
GFL	PAL-FLC-RECYCLING // DELIVERY	Delivery Commercial	6	1
GFL	PAL-FLC-TRASH // DELIVERY	Delivery Commercial	6	1
GFL	SUB TOTAL TAXES OIL/ENVIRONMENTAL & FEES	Fuel Surcharge Industrial	6	1
GFL	ENVIRONMENTAL SURCHARGE	Environmental Surcharge Industrial	5	1
GFL	OC	Empty & Return	5	1
GFL	OC	Empty & Return	5	1
GFL	OC	Empty & Return	5	1
